Date,Price,Open,High,Low,Volume,Chg%
24-10-2022,5058,5070,5070,5051.7,1.04K,-0.09%
25-10-2022,5063.3,5053,5081.6,5033.6,4.96K,0.10%
26-10-2022,5068.7,5086.7,5086.7,5061,2.24K,0.11%
27-10-2022,5073.7,5071.5,5087.5,5057.6,6.28K,0.10%
28-10-2022,5023,5076.5,5079.5,5016.5,7.89K,-1.00%
31-10-2022,5032.2,5026.6,5044.7,5016.1,4.80K,0.18%
01-11-2022,5050.2,5035.1,5069.8,5027.7,7.22K,0.36%
02-11-2022,5060.6,5056,5083.3,5053.5,5.83K,0.21%
03-11-2022,5018.4,5050,5050,5000,10.45K,-0.83%
04-11-2022,5086.6,5035,5090,5031,9.95K,1.36%
07-11-2022,5092.7,5086.2,5106,5083.1,4.57K,0.12%
08-11-2022,5163,5071,5168.5,5060.6,7.16K,1.38%
09-11-2022,5150.6,5145,5172.5,5131.5,6.33K,-0.24%
10-11-2022,5210.9,5154.1,5221,5148.1,7.83K,1.17%
11-11-2022,5233.4,5205,5253.4,5205,6.16K,0.43%
14-11-2022,5271.8,5231.8,5278.6,5230,5.64K,0.73%
15-11-2022,5274.5,5274.3,5305.1,5267.5,6.59K,0.05%
16-11-2022,5306.2,5299.2,5320,5294.2,5.88K,0.60%
17-11-2022,5284.3,5295,5299.3,5277.7,5.38K,-0.41%
18-11-2022,5258.8,5284.3,5299,5254.7,4.83K,-0.48%
21-11-2022,5229.2,5250.8,5259,5213.6,5.40K,-0.56%
22-11-2022,5228.9,5247.5,5249.5,5223.7,4.46K,-0.01%
23-11-2022,5245.1,5234.9,5247.5,5206.8,5.00K,0.31%
24-11-2022,5267.1,5250,5274.8,5250,3.25K,0.42%
25-11-2022,5254.4,5266.5,5275,5240.5,4.17K,-0.24%
28-11-2022,5217.3,5242.1,5269.6,5214.1,5.12K,-0.71%
29-11-2022,5230.8,5224.7,5259.5,5224.7,1.17K,0.26%
30-11-2022,5248,5250.9,5271,5238,0.16K,0.33%
01-12-2022,5323.8,5283.8,5346.2,5281.9,0.05K,1.44%
02-12-2022,5326.5,5333.7,5345.8,5318.4,0.02K,0.05%
05-12-2022,5356.6,5434.8,5434.8,5321.7,0.01K,0.57%
06-12-2022,5376,5356.1,5393.5,5351.3,4.66K,0.36%
07-12-2022,5398.7,5381,5403.3,5370.1,4.27K,0.42%
08-12-2022,5405.1,5399.9,5420.1,5393.7,3.48K,0.12%
09-12-2022,5429.5,5426.2,5440,5403,4.34K,0.45%
12-12-2022,5413.2,5410.9,5429.4,5406.1,4.27K,-0.30%
